UniqueCount	AmbigCount
3	841
0	841
0	55
1	55
60	0
4	214
2	214
10	66
0	66
3	32
0	32
1	30
0	32
0	59
0	59
3	0
4	0
33	385
6	385
1	0
0	0
0	0
3	0
42	0
47	0
5	407
4	407
0	392
0	5
0	5
0	126
0	126
403	1
11	0
0	12
0	0
0	0
0	0
1	5
1	4
1	2
1	2
0	2
2	0
5	0
0	59
1	59
66	0
21	0
5	0
0	50
0	50
0	23
0	1780
0	1780
1015	8821
0	8821
0	8644
4	0
0	0
9	0
0	0
9	0
0	8
0	8
8	0
0	0
10	0
1	17
0	17
0	0
17	0
25	0
0	12
0	13
0	13
0	1
0	1
0	0
0	12
0	0
0	0
27	0
0	6
0	6
0	4
0	4
0	4
0	8
0	8
0	7
0	7
0	0
0	2
0	2
0	24454
0	24434
0	24447
593	25416
0	22301
3	22289
0	22288
0	26725
0	26542
0	25561
0	12194
0	12583
0	12022
1	13371
0	13327
0	10941
0	12284
0	11160
0	4675
0	4688
0	4688
89	0
8	0
0	79
0	79
91	0
0	56
4	62
0	61
0	49
0	62
1	249
0	249
0	249
0	146
0	382
2	382
351	0
21	1704
0	1579
14	1656
0	1675
0	137
0	1254
0	1254
1255	0
8	0
0	411
0	414
0	311
0	127
0	325
0	328
0	141
0	141
0	134
5	0
4	73
3	73
147	0
50	0
21	1410
2	1410
0	332
0	332
0	243
0	250
0	218
0	277
0	156
0	112
0	98
4	211
0	211
0	147
378	0
0	228
0	228
0	2
0	2
385	0
0	2617
5	2617
1108	2
0	715
102	619
4	737
0	737
8	785
0	595
0	792
0	792
1	736
0	687
0	671
0	658
0	786
0	742
0	736
0	3806
0	3807
0	3864
0	3864
0	1449
0	1449
0	2498
0	2498
0	2158
0	2158
2	1864
9	84
0	84
0	708
23	708
1	1141
1	1141
0	2787
0	2773
0	2770
1	2784
0	2503
0	2262
0	0
1214	0
0	1307
0	1307
0	1513
0	1513
0	1309
0	1309
97	0
0	753
0	754
0	753
0	620
0	621
0	620
0	750
0	751
0	750
0	630
0	218
2	257
0	139
4	5886
0	5889
0	5891
0	5462
0	2265
7	2265
280	0
67	555
0	554
0	555
0	604
0	604
0	549
0	549
407	0
2953	1
0	2414
3	2414
126	1632
0	2679
0	2679
91	0
4	0
15	0
398	1
340	0
114	0
1	48
0	48
0	1590
0	1588
0	1590
1482	1
1134	1
0	352
0	352
0	351
0	315
0	352
0	357
34	357
193	2437
0	2437
0	1733
0	1369
423	0
1	873
6	873
4	1838
0	1838
221	0
0	1028
1	1028
2663	3
0	2114
0	2114
0	1345
201	0
1077	0
537	4
91	1431
0	371
0	1169
0	743
1	743
0	740
206	955
0	955
9	1466
52	1466
223	1
680	1
8	0
176	788
1	507
0	507
0	438
0	567
0	224
0	223
0	224
0	380
0	380
0	380
0	374
0	374
0	5
0	4
0	5
161	0
0	0
0	7
1	7
0	7
0	893
9	893
0	202
0	254
17	181
7	37
0	37
402	0
330	0
157	0
318	1326
0	1298
0	962
0	3826
