UniqueCount	AmbigCount
4	878
0	878
0	63
1	63
77	0
13	186
1	186
14	80
2	80
10	57
0	56
1	55
0	57
0	105
1	105
9	0
3	0
47	454
5	454
4	0
7	0
0	0
8	0
87	0
69	0
4	381
4	381
0	369
0	7
1	7
0	179
0	179
528	0
10	0
4	37
0	0
1	2
0	0
0	38
3	43
0	44
1	43
0	6
17	0
18	0
0	72
0	72
105	0
8	0
5	0
0	39
0	39
0	21
0	2562
0	2562
1177	10480
0	10480
0	10292
6	0
4	0
0	0
2	0
12	1
0	23
0	23
3	0
2	0
12	0
3	15
0	15
0	0
35	0
42	0
0	11
0	13
0	13
0	4
0	4
0	3
0	11
0	0
0	0
32	0
1	7
0	7
0	3
0	3
1	3
0	5
0	3
0	5
0	3
4	0
0	3
0	3
0	34777
0	34738
1	34756
877	35850
0	26234
6	26205
1	26205
2	37460
0	37166
0	36060
1	17840
0	18208
0	17543
0	19405
0	19318
0	15878
0	17772
0	16158
0	5176
0	5184
0	5184
110	0
5	0
0	100
0	100
118	0
1	87
3	108
0	98
0	80
0	107
0	271
0	271
0	271
0	156
0	352
0	352
334	0
19	1735
1	1561
16	1661
0	1697
0	132
0	1194
1	1194
1481	1
11	0
0	556
0	558
0	439
0	191
0	436
0	438
0	135
0	135
0	126
9	0
2	84
2	84
182	0
40	0
29	1369
4	1369
1	328
0	328
0	240
0	249
0	221
0	280
0	167
0	122
0	109
22	242
0	242
1	168
399	0
3	251
0	251
0	10
0	10
378	0
0	2654
4	2654
1061	2
0	848
110	711
3	834
0	834
12	913
0	731
0	922
0	922
3	864
0	817
0	799
0	794
0	905
0	869
0	864
0	3759
0	3759
0	3819
0	3819
0	1445
0	1446
0	2396
0	2397
0	2093
0	2094
1	1823
5	125
0	125
0	809
32	809
0	1122
1	1122
0	3488
0	3472
0	3471
0	3487
0	3131
0	2807
0	0
1356	0
0	1529
0	1529
0	1762
0	1762
0	1532
0	1532
111	0
0	883
0	885
0	884
0	703
0	705
0	704
0	880
0	882
0	881
0	712
0	271
2	302
0	168
1	5317
0	5317
0	5318
0	4980
0	2731
3	2731
359	0
66	640
0	638
1	640
0	1058
0	1061
0	983
0	986
360	0
2841	4
0	2196
3	2196
159	1398
0	2736
0	2736
186	0
5	0
18	0
360	0
355	0
130	0
4	76
0	76
0	2407
0	2406
0	2407
1447	2
1123	0
0	379
0	379
0	377
0	334
0	378
0	458
26	458
151	2359
0	2359
0	1734
0	1382
438	0
0	909
0	909
4	2215
0	2215
289	1
0	1015
0	1015
2894	1
0	2106
0	2108
0	1365
205	0
1195	0
566	3
113	1446
0	340
0	1198
0	784
0	784
0	781
177	863
0	863
5	1533
53	1533
237	0
829	2
10	0
210	876
7	554
0	552
0	435
0	601
3	417
0	414
0	417
0	397
0	397
0	397
0	423
0	423
0	4
0	4
0	4
277	0
2	0
0	8
1	9
0	9
0	1428
8	1428
0	221
0	285
25	223
16	32
0	32
498	1
408	0
213	0
337	1313
0	1263
0	955
2	4081
0	3547
0	4081
3643	1
499	0
0	1
0	1
8	720
9	720
0	573
0	573
13	0
302	0
16	7
1742	0
4	0
238	0
43	402
0	402
0	4104
0	4104
1	4104
0	4104
2559	2
918	2
1470	0
87	943
2	943
643	3
537	0
592	1
412	1
0	3115
2	3115
0	3134
0	2996
1	3134
507	0
1696	1
1102	1
0	133
0	133
49	0
0	8
0	8
0	13140
20	13140
4364	4
9574	7
5916	4
0	5918
3	5918
11049	5
9	0
7	702
0	702
200	0
0	2724
0	2759
0	2602
1	2602
2	2220
155	87
0	87
21	300
0	300
0	124
