UniqueCount	AmbigCount
0	916
0	916
0	36
0	36
44	0
10	172
1	172
12	65
0	65
3	38
0	38
1	38
0	38
0	81
1	81
11	0
13	0
44	447
1	447
0	0
12	1
0	0
2	0
66	0
59	0
0	342
6	342
0	337
0	12
0	12
0	159
0	159
301	0
5	0
1	0
1	0
0	0
0	0
0	0
0	2
0	3
0	3
0	2
5	0
1	0
0	55
0	55
84	0
8	0
8	0
0	32
0	32
0	16
0	1918
1	1918
845	8796
0	8795
0	8635
5	0
1	0
8	0
3	0
5	0
0	7
0	7
3	0
2	0
14	0
2	11
0	11
3	0
12	0
26	0
0	16
0	15
0	14
0	2
0	1
0	0
0	17
0	1
0	0
17	0
0	2
0	2
0	5
0	5
0	5
0	5
0	5
0	4
0	4
3	0
0	5
0	5
0	23324
0	23309
0	23321
505	24335
0	22548
5	22543
0	22543
0	25876
1	25463
0	24433
1	10222
0	10600
0	10089
0	11410
0	11179
0	9259
0	10408
1	9433
0	3101
1	3107
0	3107
73	1
7	0
0	60
0	60
104	0
0	46
2	57
0	52
0	45
0	57
0	289
0	289
0	289
0	158
0	388
0	388
332	0
19	1757
0	1605
17	1704
0	1738
0	134
0	1265
0	1265
1075	0
5	0
0	362
0	363
0	295
0	109
0	284
0	285
0	92
0	92
0	90
4	0
2	59
6	59
125	0
30	0
25	1563
3	1563
1	361
0	361
1	272
0	280
0	255
0	313
0	173
0	118
0	102
10	216
0	216
1	146
463	1
0	251
0	251
0	4
0	4
360	1
0	2898
2	2898
1087	1
0	603
89	535
2	625
0	625
13	666
0	505
0	675
0	675
2	622
0	576
0	560
0	553
0	672
0	630
0	622
0	3996
0	3996
0	4055
0	4055
0	1519
0	1519
0	2692
0	2692
0	2355
0	2354
0	2066
10	105
0	105
0	606
18	606
1	1216
1	1216
0	2602
0	2583
0	2582
2	2601
0	2345
0	2136
0	0
1069	1
0	1199
0	1201
0	1353
0	1355
0	1197
0	1199
110	0
0	632
0	633
0	633
0	496
0	497
0	497
0	627
0	628
0	629
0	542
0	251
0	278
0	138
2	8300
0	8298
0	8304
2	7678
0	1651
6	1651
230	0
22	444
0	442
0	443
0	545
0	545
0	499
0	499
362	0
2886	1
0	2305
1	2305
146	1486
0	2599
1	2599
74	0
1	0
7	0
344	0
310	0
85	0
1	50
0	50
0	1242
0	1242
0	1242
1505	0
1227	2
0	361
1	361
0	359
0	320
0	361
1	452
27	452
216	2639
0	2638
0	1939
0	1561
414	0
0	812
2	812
3	1464
0	1464
201	0
0	1049
0	1049
2904	1
0	2237
3	2239
0	1380
200	0
1045	1
508	2
116	1423
0	323
0	1191
1	784
2	784
0	780
190	971
0	971
9	1726
59	1726
225	0
809	1
6	0
196	859
3	557
0	554
0	461
0	587
1	205
0	201
0	205
0	298
0	298
0	298
0	308
0	308
0	5
0	5
0	5
76	0
0	0
0	3
0	3
0	3
0	886
17	886
0	223
1	269
10	205
6	16
0	16
362	0
232	0
152	0
303	1234
0	1192
0	848
0	3758
0	3299
2	3758
3505	2
409	0
0	1
0	1
9	820
5	820
0	543
1	543
11	0
224	0
12	7
1710	3
3	0
264	0
44	439
1	439
0	4548
0	4548
1	4548
1	4548
1995	2
966	0
1515	1
106	840
0	840
651	2
515	0
605	0
447	0
0	3098
1	3098
1	2103
0	1995
0	2103
588	0
1570	2
729	0
0	130
0	130
46	0
0	0
0	0
0	14125
41	14125
4947	5
8277	7
3798	2
0	4354
7	4354
10889	14
18	0
7	618
0	618
186	0
0	2427
0	2477
0	2332
0	2332
0	1970
125	74
0	74
13	218
0	218
0	97
1	94
0	1979
0	1919
0	1919
0	1764
180	637
0	637
0	939
0	915
0	881
0	857
1091	20893
1	20408
0	20790
0	3825
0	3832
0	3832
0	3825
0	3828
2	3825
0	2912
0	2139
6	2912
0	2765
0	33
0	28
1	27
0	14
4	64
0	70
0	70
0	27
933	2
826	1
98	0
117	0
8	156
1	156
43	561
0	561
5	0
7	0
1	0
2	303
0	303
12	0
333	98
0	98
547	42
502	0
581	0
0	16
0	16
5	3
172	45
0	1928
0	1925
0	1861
0	1858
0	2208
0	2206
0	2355
0	2352
0	1861
0	1858
0	1861
0	1858
0	1878
0	1875
0	1878
0	1877
0	1856
0	1853
0	1870
0	1867
7	0
35	1
0	1952
0	1944
0	1974
0	1974
93	421
7	421
0	417
0	401
77	0
1448	0
0	727
8	727
0	795
4	795
0	134
0	134
0	132
0	132
0	132
2	132
0	132
0	19
0	26
0	26
0	25
0	991
0	991
0	698
13	178
0	178
0	143
0	107
0	299
0	299
26	1328
1	1328
0	0
0	2682
0	2040
0	2505
1	1738
0	2476
1090	0
3481	2
1259	1
0	709
0	709
0	709
0	703
2	16
0	16
10	0
339	0
11	622
103	622
219	0
12	0
9	35
0	35
61	0
1	24
0	24
4	20
0	20
0	19
0	1153
3	1153
0	1098
0	1342
0	1342
1539	0
61	654
0	736
0	736
2	8
0	8
0	4
0	4
1	4
320	0
12	1334
0	1334
1	8
0	8
0	3
0	8
0	2726
30	2709
383	2772
0	2770
0	87
0	88
0	90
0	88
0	89
0	91
0	90
0	89
0	92
0	87
0	88
0	90
0	89
0	88
0	91
68	0
1606	3
644	1
0	2199
4	2216
0	2216
4	0
128	0
0	635
2	635
11	4502
320	4502
10	4501
0	2714
1	3580
0	3506
5656	6
0	5255
1	5255
1	4718
0	4677
0	4677
0	6869
0	6583
0	5392
0	5555
0	5269
0	5349
0	5275
0	4516
0	4515
0	4513
0	4510
1275	1
0	1612
0	1612
0	2153
0	2154
0	1603
0	1554
0	1554
0	2085
0	1545
0	3011
2	3011
0	837
3	825
0	730
0	587
798	2
0	0
2189	1
48	0
351	0
12	269
2	279
