UniqueCount	AmbigCount
0	979
0	979
0	40
0	40
65	0
12	143
0	143
15	92
0	92
4	36
0	36
0	32
0	36
0	92
0	92
12	0
8	0
48	490
3	490
1	0
4	0
0	0
1	0
48	0
59	0
7	396
2	396
0	385
0	4
0	4
0	173
0	173
382	0
7	0
0	1
0	0
0	0
0	0
0	3
0	3
0	9
0	9
0	0
7	0
3	0
0	53
0	53
82	0
8	0
5	0
0	40
0	40
0	16
0	1979
1	1979
1048	8730
0	8729
0	8565
7	0
3	0
6	0
3	0
5	0
0	3
0	3
7	0
3	0
4	0
6	7
0	7
2	0
14	0
22	0
0	10
0	10
0	10
0	2
0	2
0	2
0	10
0	1
0	0
17	0
0	8
0	8
0	4
0	4
0	4
0	2
0	2
0	2
0	2
4	0
0	1
0	1
0	25107
0	25092
0	25100
626	26153
0	23555
2	23545
1	23545
0	27708
1	27409
0	26330
2	11369
0	11747
0	11208
0	12609
0	12546
0	10338
0	11491
0	10496
0	3168
0	3172
0	3172
84	0
9	0
0	98
0	98
87	0
0	74
2	83
0	78
0	69
0	81
3	292
0	292
0	292
0	168
0	420
2	420
367	0
16	1838
0	1677
12	1753
1	1791
0	143
0	1303
1	1304
1124	1
10	0
0	286
0	287
0	221
0	85
0	217
0	218
0	115
0	115
0	103
8	0
4	69
4	69
123	0
22	0
20	1603
2	1603
1	314
0	314
1	232
0	241
0	231
0	276
0	157
0	105
0	90
9	218
0	218
0	152
520	0
2	260
0	260
1	8
0	8
366	0
0	2935
7	2935
1107	0
0	665
97	588
2	691
0	691
3	715
0	540
0	729
0	729
3	685
0	624
0	618
0	610
0	722
0	689
0	685
0	4211
0	4211
0	4280
0	4280
0	1650
0	1650
0	2938
0	2938
0	2534
0	2532
1	2201
8	82
1	82
0	657
24	657
0	1261
4	1261
0	2544
0	2534
0	2530
0	2540
0	2261
0	2048
0	0
1148	3
0	1371
0	1372
0	1539
0	1540
0	1372
0	1373
86	0
0	673
0	674
0	674
0	538
0	539
0	539
0	665
0	666
0	668
0	567
0	207
1	251
0	143
2	8477
0	8475
0	8480
1	7867
0	1693
11	1693
269	0
30	437
0	435
0	436
0	582
0	583
0	529
0	530
381	0
3286	1
0	2322
3	2322
152	1512
0	2721
0	2721
177	0
3	0
14	0
330	0
334	0
111	0
1	55
0	55
0	1423
0	1423
0	1423
1574	0
1129	0
0	351
0	352
0	351
0	312
2	351
0	397
41	397
232	2799
0	2799
0	2056
0	1658
410	0
1	849
2	849
4	1591
0	1591
222	0
0	1111
1	1111
3057	4
0	2244
0	2249
0	1422
199	1
1117	0
557	0
123	1458
0	361
0	1201
0	828
1	828
0	823
176	1051
0	1050
7	1652
44	1652
253	0
575	1
5	0
233	1021
3	633
0	632
0	508
0	698
0	202
0	202
2	202
0	271
0	271
0	271
0	293
0	293
0	5
0	4
0	5
82	0
0	0
0	4
1	4
0	4
0	849
9	849
0	264
1	305
9	234
4	30
0	30
361	0
228	0
147	0
304	1233
0	1200
0	889
1	3872
0	3399
0	3872
3895	3
524	0
0	0
0	0
7	925
6	925
0	554
2	554
8	0
263	0
45	11
1817	0
0	0
263	0
38	416
0	416
0	4835
0	4835
0	4835
1	4835
2274	0
963	1
1597	0
102	936
1	936
719	0
589	2
600	0
442	0
0	3222
6	3222
