"","width","gene_id","gene_name","gene_biotype","description","entrezid"
"1",163,"WBGene00023193","Y74C9A.6","snoRNA","NULL",NA
"2",6115,"WBGene00022277","homt-1","protein_coding","Alpha N-terminal protein methyltransferase 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4D9]",171590
"3",5343,"WBGene00022276","nlp-40","protein_coding","Neuropeptide-like peptides nlp-40 Peptide P1 Peptide P2 Peptide P3 Peptide P4 [Source:UniProtKB/Swiss-Prot;Acc:Q9N4D8]",171591
"4",9295,"WBGene00022278","rcor-1","protein_coding","RCOR (REST CO-Repressor) homolog  [Source:UniProtKB/TrEMBL;Acc:H2KZI1]",171592
"5",719,"WBGene00235381","Y74C9A.9","pseudogene","NULL",NA
"6",4954,"WBGene00022279","sesn-1","protein_coding","Sestrin homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4D6]",171593
"7",21,"WBGene00170953","21ur-15479","piRNA","NULL",NA
"8",21,"WBGene00173569","21ur-13439","piRNA","NULL",NA
"9",945,"WBGene00022275","Y74C9A.1","protein_coding","NULL",190694
"10",2391,"WBGene00044345","Y48G1C.12","protein_coding","NULL",3565580
"11",4508,"WBGene00021677","pgs-1","protein_coding","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase  [Source:UniProtKB/TrEMBL;Acc:V6CIR3]",171594
"12",8774,"WBGene00021678","Y48G1C.5","protein_coding","NULL",171595
"13",9647,"WBGene00000812","csk-1","protein_coding","Tyrosine-protein kinase csk-1  [Source:UniProtKB/Swiss-Prot;Acc:G5ECJ6]",266817
"14",9828,"WBGene00021683","Y48G1C.10","protein_coding","NULL",353378
"15",1303,"WBGene00021679","Y48G1C.6","protein_coding","NULL",171597
"16",1498,"WBGene00021682","Y48G1C.9","protein_coding","NULL",3565103
"17",1861,"WBGene00021676","pid-2","protein_coding","NULL",171599
"18",540,"WBGene00189949","Y48G1C.13","protein_coding","NULL",13179121
"19",11680,"WBGene00021681","Y48G1C.8","protein_coding","NULL",3564797
"20",1438,"WBGene00004274","rab-11.1","protein_coding","Ras-related protein rab-11.1  [Source:UniProtKB/Swiss-Prot;Acc:O01803]",171601
"21",221,"WBGene00199899","F53G12.16","ncRNA","NULL",NA
"22",149,"WBGene00199597","F53G12.15","ncRNA","NULL",NA
"23",1380,"WBGene00004418","rpl-7","protein_coding","60S ribosomal protein L7  [Source:UniProtKB/Swiss-Prot;Acc:O01802]",171602
"24",150,"WBGene00202494","F53G12.17","ncRNA","NULL",NA
"25",134,"WBGene00023461","F53G12.12","snoRNA","NULL",NA
"26",1437,"WBGene00018774","F53G12.9","protein_coding","NULL",171603
"27",898,"WBGene00018773","F53G12.8","protein_coding","NULL",171604
"28",21,"WBGene00171818","21ur-13877","piRNA","NULL",NA
"29",1700,"WBGene00000622","col-45","protein_coding","COLlagen  [Source:UniProtKB/TrEMBL;Acc:O01799]",171605
"30",2762,"WBGene00004962","spe-8","protein_coding","Spermatocyte protein spe-8  [Source:UniProtKB/Swiss-Prot;Acc:O01798]",171606
"31",6769,"WBGene00003229","mex-3","protein_coding","Muscle EXcess  [Source:UniProtKB/TrEMBL;Acc:V6CKQ3]",171607
"32",2946,"WBGene00018772","F53G12.4","protein_coding","NULL",186189
"33",6721,"WBGene00018771","duox-2","protein_coding","DUal OXidase  [Source:UniProtKB/TrEMBL;Acc:O01795]",186188
"34",1641,"WBGene00271776","F53G12.18","protein_coding","NULL",34700629
"35",8365,"WBGene00000253","bli-3","protein_coding","Dual oxidase 1  [Source:UniProtKB/Swiss-Prot;Acc:O61213]",171608
"36",6648,"WBGene00004225","ptr-11","protein_coding","PaTched Related family  [Source:UniProtKB/TrEMBL;Acc:O44978]",171609
"37",4650,"WBGene00018958","F56C11.6","protein_coding","Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:H2L069]",171610
"38",60,"WBGene00201018","F56C11.7","ncRNA","NULL",NA
"39",3624,"WBGene00018957","F56C11.5","protein_coding","NULL",186374
"40",694,"WBGene00018955","F56C11.3","protein_coding","Sulfhydryl oxidase  [Source:UniProtKB/TrEMBL;Acc:O44975]",171611
"41",25102,"WBGene00000227","atm-1","protein_coding","Serine/threonine-protein kinase ATM  [Source:UniProtKB/Swiss-Prot;Acc:Q9N3Q4]",3565793
"42",75,"WBGene00023295","F56C11.t1","pseudogene","NULL",NA
"43",2452,"WBGene00021666","Y48G1BL.7","protein_coding","NULL",3565824
"44",3236,"WBGene00004246","puf-10","pseudogene","NULL",NA
"45",969,"WBGene00021662","snpc-3.3","protein_coding","SNAPc (Small Nuclear RNA Activating Complex) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N3Q1]",190031
"46",1040,"WBGene00255594","Y48G1BL.8","protein_coding","NULL",25502999
"47",1841,"WBGene00021664","Y48G1BL.5","pseudogene","NULL",NA
"48",6561,"WBGene00021671","Y48G1BM.6","pseudogene","NULL",NA
"49",406,"WBGene00021672","Y48G1BM.7","protein_coding","NULL",190040
"50",4924,"WBGene00021668","Y48G1BM.2","pseudogene","NULL",NA
"51",2957,"WBGene00021673","Y48G1BM.8","pseudogene","NULL",NA
"52",2160,"WBGene00021667","snpc-3.2","protein_coding","SNAPc (Small Nuclear RNA Activating Complex) homolog  [Source:UniProtKB/TrEMBL;Acc:Q965U6]",171615
"53",4881,"WBGene00021675","Y48G1BR.1","protein_coding","NULL",24105124
"54",117,"WBGene00220069","T13E5.1","snoRNA","NULL",NA
"55",21,"WBGene00169222","21ur-15400","piRNA","NULL",NA
"56",21,"WBGene00166448","21ur-13405","piRNA","NULL",NA
"57",5996,"WBGene00016903","marc-4","protein_coding","MARCH (Membrane-Associated Ring finger (C3HC4)) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N5V7]",171616
"58",326,"WBGene00016904","C53D5.3","protein_coding","NULL",171616
"59",3098,"WBGene00016905","ztf-3","protein_coding","Zinc finger putative Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:V6CKB8]",171617
"60",14254,"WBGene00016902","C53D5.1","protein_coding","NULL",171618
"61",5320,"WBGene00016906","C53D5.5","protein_coding","NULL",171619
"62",4009,"WBGene00002077","imb-3","protein_coding","IMportin Beta family  [Source:UniProtKB/TrEMBL;Acc:Q9N5V3]",3565440
"63",1622,"WBGene00235385","Y48G1A.7","pseudogene","NULL",NA
"64",4963,"WBGene00002079","xpo-2","protein_coding","EXPOrtin (Nuclear export receptor)  [Source:UniProtKB/TrEMBL;Acc:V6CKP0]",171621
"65",7200,"WBGene00021660","nol-14","protein_coding","NucleOLar protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3Q9]",171622
"66",5229,"WBGene00000917","daf-25","protein_coding","Dauer abnormal formation protein 25  [Source:UniProtKB/Swiss-Prot;Acc:Q9N3Q8]",171623
"67",5356,"WBGene00021661","mbtr-1","protein_coding","Malignant brain tumor repeat protein 1  [Source:UniProtKB/Swiss-Prot;Acc:A0SQM0]",171624
"68",889,"WBGene00021658","Y48G1A.2","protein_coding","NULL",171625
"69",8734,"WBGene00021657","Y48G1A.1","protein_coding","NULL",190030
"70",6662,"WBGene00020087","R119.1","pseudogene","NULL",NA
"71",3810,"WBGene00020091","rnp-8","protein_coding","RNP (RRM RNA binding domain) containing  [Source:UniProtKB/TrEMBL;Acc:V6CLS0]",171627
"72",5076,"WBGene00020088","R119.2","protein_coding","NULL",187899
"73",5503,"WBGene00020089","R119.3","protein_coding","NULL",171628
"74",2832,"WBGene00004143","pqn-59","protein_coding","Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:O61708]",266819
