"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00004988","T08A9.7","Stress response","Stress response: pathogen","Stress response: pathogen: saposin ","spp-3 is involved in defense response to Gram-negative bacterium, defense response to Gram-positive bacterium, and protein homooligomerization\; is expressed in the SDQR."
"2","WBGene00007153","B0365.6","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-41 is predicted to have carbohydrate binding activity\; is involved in positive regulation of chemotaxis."
"3","WBGene00007231","C01G10.4","Unknown","Unknown","Unknown: regulated by multiple stresses","C01G10.4 is enriched in the male based on microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by ten chemicals including methylmercuric chloride, Mercuric Chloride, and Tunicamycin based on microarray and RNA-seq studies."
"4","WBGene00007232","C01G10.5","Unknown","Unknown","Unknown: regulated by multiple stresses","C01G10.5 is enriched in the nervous system based on tiling array studies\; is affected by several genes including daf-16, skn-1, and daf-12 based on tiling array, RNA-seq, and microarray studies\; is affected by nine chemicals including tryptophan, Tunicamycin, and bisphenol A based on microarray and RNA-seq studies."
"5","WBGene00008741","F13D12.6","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate","F13D12.6 is an ortholog of human CTSA (cathepsin A)\; is predicted to have serine-type carboxypeptidase activity\; is expressed in the intestine."
"6","WBGene00010050","F54D5.4","Stress response","Stress response: pathogen","Stress response: pathogen: other","F54D5.4 is involved in innate immune response."
"7","WBGene00010597","K06A4.7","Unknown","Unknown","Unknown: regulated by multiple stresses","K06A4.7 is enriched in the intestine based on RNA-seq and microarray studies\; is affected by several genes including daf-2, age-1, and skn-1 based on microarray and RNA-seq studies\; is affected by four chemicals including 1-methylnicotinamide, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
"8","WBGene00011979","T24B8.5","Stress response","Stress response: pathogen","Stress response: pathogen: ShK","T24B8.5 is involved in innate immune response\; is expressed in the intestine."
"9","WBGene00014173","ZK970.7","Unknown","Unknown","Unknown","ZK970.7 is involved in response to gamma radiation."
"10","WBGene00015759","C14C6.5","Stress response","Stress response: pathogen","Stress response: pathogen: ShK","C14C6.5 is involved in innate immune response."
"11","WBGene00016119","C25H3.10","Unknown","Unknown","Unknown: regulated by multiple stresses","C25H3.10 is enriched in several tissues, including the coelomocyte, the germ line, the hypodermis, the male, and the nervous system based on tiling array, proteomic, RNA-seq, and microarray studies\; is affected by several genes including daf-2, age-1, and let-60 based on microarray, tiling array, and RNA-seq studies\; is affected by fourteen chemicals including Heme, D-glucose, and Cry5B based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: F-box domain."
"12","WBGene00018910","F56A4.2","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","F56A4.2 is enriched in the intestine based on RNA-seq and microarray studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on microarray and RNA-seq studies\; is affected by seven chemicals including Mercuric Chloride, Tunicamycin, and Rifampin based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: C-type lectin-like, C-type lectin-like\/link domain superfamily, and C-type lectin fold."
"13","WBGene00019682","K12H4.7","Proteolysis general","Proteolysis general: serine","Proteolysis general: serine","K12H4.7 is an ortholog of human PRSS16 (serine protease 16)\; is predicted to have serine-type peptidase activity\; is involved in innate immune response\; is expressed in the intestine."
"14","WBGene00022644","ZK6.10","Stress response","Stress response: pathogen","Stress response: pathogen: other","dod-19 is involved in innate immune response\; localizes to the membrane raft."
"15","Wormbase.ID",NA,NA,NA,NA,NA
